user_id,business_id,text,date,compliment_count
LkXNQQaIc5yrKu9Ap87RrA,SekWxm92phAL_P_KySUnxA,Fried Pickles are good.,2011-10-12 01:02:11,0
A0Tkq4VV8dD6t8NbBxvBPA,HhR2Lw4DxN_XKQZHG_TImQ,Service and meal wait time is extremely slow and they aren't overly busy.,2012-01-01 03:40:06,0
OBuCYHySOZ8jbNZUI297AA,kZ1q0K13tFYG_ZJrVvsJHA,Always get the shrimp and lobster dumplings!,2014-09-04 01:05:16,0
nlzuxf1Lwd02MdhnHdM8kg,yb2vAoH3E-R11yWmnT570w,Carnitas burrito with guacamole. I'll stick to carne asada next time.,2012-01-21 22:14:10,0
xXmtvRLU_Qpz0FT09mXGgQ,pG3BViWKznBrEPlbV9wxPA,Guinness.,2012-07-29 19:02:45,0
Mf5RnAVj9zKpYTXDFxsYVw,9_MIL3W34LUx_S_Q3JDIqg,50/50,2011-10-02 17:06:47,0
nyoMg4PnT4oxzxc6uYF4Aw,yGvaIruh-JIm8FFZLCWoYg,First timer!,2012-03-28 01:46:16,0
cr9SEw84c74IcV9kjBDaKA,yb2vAoH3E-R11yWmnT570w,"First time having the chipotle chicken (usually a pibil fan), but OMGZ.  Sooo good!",2011-01-28 20:45:15,0
LK5O-lkUKwTKCBote4I1yQ,niYgIO2ZMUX7CVvr1B5McQ,"Smiling waitress: what r u reading? Me: the complete Adams /Jefferson letters Waitress without smile: Oh #imanerd""",2010-07-10 16:00:11,0
t6oMDTL1KhmVdQz4phXxVA,JRPEQjZtG4_6NQwm5HmEWg,Decent prices in the mini mart,2014-04-01 04:43:32,0
MBuUnl4HXEUmXHV-UEwfZw,Mgcgy5ZCZvwzggV5xausug,Great peeps andBolts fans!,2015-10-14 01:20:35,0
G-l9ihg3sRAiGTuZLDmJTQ,sBcKVeZEHiG9JAxCiGvd2g,Check in and check out the swag.,2014-09-20 18:11:42,0
EoaSBAHVwz3-dj_oN6RDhQ,qKt9X3OIG4vBnjQ9YokQhg,Now they have a bottomless salad and gravy in addition to their bottomless fries! Awesome!,2015-12-31 02:35:22,0
fY-iuN_3sucT_bxN84IozQ,c-y_ORtoUTFDBXXRVqUehQ,I love this place for happy hour. Delicious bites and great drinks.,2015-09-10 18:02:39,0
O1_mLC0sVAS2RqsfPZTiXg,jW63U-oCMlVoNZarheItpA,First time ever. Giving it the taste test.,2011-08-06 23:49:10,0
M4t4iuq_VtheOHSr0FNlUg,14V1okj0kDg2JU6ykdeKLw,"Lemon chicken, mmmmmm",2014-06-06 01:11:14,0
PGkMTm3hiermfR6TE498bw,ADaZC5PLXRJZaNJQaJnMcQ,Cash only!,2015-09-21 16:04:29,0
Tcjhv3NnsT4QrxWTMLulbg,pG3BViWKznBrEPlbV9wxPA,October has arrived early.  Thank you Sam Adams and Bar Louie.,2013-08-24 23:50:23,0
zYFGMy1_thjMnvQLX6JNBw,uC3HU-aUwvnUnLgehzqs_g,One of my favorite grocery stores.,2014-03-18 20:13:50,0
vWn1N7e-H276Z8Rii8_NIA,bq0n3CQy1CkE_WUe76zQvg,Hot pot anything and snow pea leaves. Perfect for 2 people,2010-11-27 01:31:52,0
oOsjFifsg7-owhmL-GLssA,3fOFPhFMwtdtFBSB4om2vQ,95 degrees out and they decide to work on the pool. Genius,2017-06-19 07:33:36,0
_ljIoh025OGAvWz_Kvq6EQ,yb2vAoH3E-R11yWmnT570w,"Butternut squash for me, chipotle chicken for him",2013-07-26 22:34:56,0
if-6FnW2g8Y47PWQCismFQ,ZUp2DI8r1ro5iY3ldR6x6w,Great spot for a quick lunch. Craziest menu item names ever.,2012-08-03 18:01:12,0
baF9ZT3OChvZrok30cMXIQ,dpiaAGgEMm9Lf8dbx0yEJQ,Just tried the cucumber lemonade...very refreshing.,2012-07-21 17:20:59,0
eTvp_hYnsrI5-ow_sQ31_g,YLYPbD65_LiRLSn8hVlzQQ,Great customer service. Nice people!,2012-10-20 02:44:20,0
fIapBzyUHsZTbvy4Dg0myg,KiNB06Y8hcrIkTbF3XEexw,No Android pay until tomorrow according to manager,2017-10-11 22:52:13,0
fWmKFCf6QUJ-6GByXsN-Eg,kZ1q0K13tFYG_ZJrVvsJHA,"First time here... So far, great decor, awesome service, great menu selection. Loving it...",2012-10-13 22:51:49,0
fxeRdFmgY6tbTyidpcdFLw,2ptjkvLvDmD3zzEXzM3tsQ,The place is dark and the fans are going like it is August,2012-10-07 16:15:18,0
X1nvKXUJ5Lp3W9Oe-_JrMQ,5LSXamvhXOS8XeimJx9SkA,There's a great section of organic generic items in the discount aisle. You gotta check it out.,2015-01-29 23:55:52,0
FDdYH_X5JhenWlDPL88SwA,wVrJOXjRrPKIfZbNnrl3ow,Take home a few sea salt choc chip cookies,2013-06-02 15:18:58,0
BJq8O37yqmAAx0u7b38U5A,hy5GpGXAna-5qrb3zNub6g,chips & salsa for the table,2014-09-21 16:59:50,0
CYtKqfxO78q8MN6HX2JnDg,Mgcgy5ZCZvwzggV5xausug,Ask for the thin crust pizza,2018-03-20 10:34:36,1
mswloq-IjRr9yXLhBqBPAw,kZ1q0K13tFYG_ZJrVvsJHA,With the Gardners!,2011-07-24 23:16:35,0
PZYvnNQqE4fXemg63XK76w,MAIfD4kJDCydgoD1l2b_vw,Come here to feel beachy and casual! So much local character.,2013-08-25 00:36:02,0
fo2c2mfebLM-5x0iFU3ZJA,dpiaAGgEMm9Lf8dbx0yEJQ,Quick service and so far everything is so yummy! Grilled cheese the best! So cheesy!! And the Mac and cheese is out of this world. Meatloaf sandwich a hidden gem and the white bean chili is bowl licking good!!! Absolutely satisfied!!! A hidden gem in Fishtown!,2014-08-26 18:03:00,0
47oIw-CN1guUKx2_vUdsgw,9ZjhOu2tvsvplRA3TBB2AQ,Time to chop off the hair!!,2011-07-17 16:05:07,0
HXB_ByCCp8cZm1WMjKn1Tw,kZ1q0K13tFYG_ZJrVvsJHA,Awesome happy hour!! Cheap and delicious! Get the pork bau buns,2012-01-27 01:41:45,0
OLGQ7alK4VKl3YdQk6UF5g,BAaU9XVWHtSYU16BxdZERw,Pay cash at the box office and avoid service charges,2013-08-23 17:35:01,0
OC-YEWxWs2KeEFakjMi3-w,GNo1zeiPKErB7Ww_j3IlOg,The fresh squeezed watermelon lemonade and potato leek soup are awesome!,2013-09-11 01:56:22,0
WHaISgEzqLJDfZ6EmiqOaA,c-y_ORtoUTFDBXXRVqUehQ,Endless Bloody Mary's and mimosas with brunch!! 10-2!,2014-10-26 16:51:37,0
cSKLV3CudAbHGW5GOHoRJQ,KcGCtmMca0EjY_wCv_HN4Q,Pool Etiquette: Use the chalk board and write your name.,2015-05-23 05:26:53,0
WJhWqx-8jGf7E64L5sFaag,iBnj2wBO5-3moZ7corhp-w,"Unfortunately, the event was woefully understaffed.  The restaurant and the bar had what appeared to be the same level of staffing that they would have on any Saturday.

Very frustrating and not fun.",2014-01-25 21:51:49,0
nLOF2qXMJfTbbcVtDo8oZA,BCPpFA_h3l4F73H7ouLrbQ,Bison burger is great and only 150 calories.,2012-01-04 03:00:46,0
SMPCvyoWlhl9maumbzlF2Q,pXxYdmtrWY_gl7ezGFyM_g,Surprisingly good! Better than it was over a year ago.,2013-12-06 18:37:46,0
-S1KvpmUM8Sx60UimmufxA,l3wMnen794GzMvQc87A-NQ,Love the fruits and veggie's they have here.,2014-01-11 14:04:42,0
7o5HLEkG5UhtniO5RASU_A,vE8jdM9mi0UzRkogyfR8Ng,They will price match exact items from Minard's by 10%!!,2015-07-03 12:26:21,0
CMXYpLhNDlKiTDZTfBLuhQ,kZ1q0K13tFYG_ZJrVvsJHA,Get the $45 Chef's tasting option. Def worth the money and great way to try many things on the menu.,2013-06-06 00:20:00,0
rwvRGx0U9pkaifCV1U_ryw,v7aq2LeRYLlOnfYlS-AHzw,Check the expiration date. Great deals.,2014-09-23 15:05:22,0
ZTvil7E2JbtORKm0bu6MKQ,nF5QByCz21MY0KLtSoB5KA,Late Dinner with the kids.,2012-06-16 01:38:05,0
lb_R8cMWxoip-TpajN2EYw,AByoH9ZvPRFl7snzovyj_g,Just as good as any other Dairy Queen. Great experience at this just like all the others.,2014-06-05 15:50:00,0
cTjFQS2Yyuc27rH0zQ2gyg,UnqMg3e3qgCvEYW0E4RUYQ,"Food is really surprisingly good, great selection of beers my only advice is parking is tough come on bike",2017-01-27 05:15:58,0
ouN-y05pA6AerCzHOqmxuQ,HhR2Lw4DxN_XKQZHG_TImQ,Ehh,2011-10-13 22:51:27,0
ld0AperBXk1h6UbqmM80zw,pG3BViWKznBrEPlbV9wxPA,Omg lemon drop cocktail...yummie,2013-09-21 00:39:22,0
PQE5oTb_fKZpZPiXh3rEmg,iXyhJ8pywjdkNAFwAQYadA,High-quality and very knowledgeable crew. Highly recommend!,2017-03-10 18:24:19,0
qs9_yIgen2NUxQCS-LiR_Q,a8Dd8uNFxfQjCSKpkP34HQ,"Vets are knowledgible, assts nice, reasonibly priced, im very happy with them",2012-08-02 22:01:49,0
qOAYy-WGn54j7LyiqKU-OQ,i943AcReAf5-1OjVOZdPSg,Complimentary fried bananas! Yay!,2015-06-06 02:56:01,0
